epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,2558.55,0.45324,0.45215,0.96077,0.96707,0.97577,0.99257,0.94946,0.28687,0.25909,0.8458,0.000385179,0.000385179,0.000385179
55,2604.39,0.44523,0.43653,0.9537,0.97959,0.97663,0.99203,0.95131,0.28138,0.24838,0.83858,0.000383466,0.000383466,0.000383466
56,2654.78,0.45383,0.4408,0.95748,0.96275,0.97276,0.99091,0.95249,0.27532,0.252,0.84049,0.000381752,0.000381752,0.000381752
57,2699.92,0.45089,0.44156,0.95745,0.97924,0.95941,0.9832,0.93395,0.30596,0.27705,0.85746,0.000380038,0.000380038,0.000380038
58,2748.91,0.45365,0.43207,0.95075,0.98301,0.97356,0.99445,0.95353,0.2777,0.247,0.842,0.000378325,0.000378325,0.000378325
59,2793.98,0.45514,0.44101,0.95794,0.97907,0.97344,0.99358,0.94946,0.28187,0.25186,0.84415,0.000376611,0.000376611,0.000376611
60,2838.7,0.45733,0.44278,0.96522,0.97921,0.97758,0.99341,0.9496,0.30084,0.25749,0.84726,0.000374898,0.000374898,0.000374898
61,2883.61,0.46913,0.43569,0.97151,0.97318,0.97085,0.99234,0.94479,0.30068,0.26436,0.84866,0.000373184,0.000373184,0.000373184
62,2930.35,0.44442,0.42539,0.95304,0.97771,0.98221,0.99344,0.95073,0.28757,0.24246,0.84675,0.00037147,0.00037147,0.00037147
63,2976.34,0.44959,0.43932,0.95449,0.9817,0.96869,0.99267,0.95164,0.28307,0.25643,0.84788,0.000369757,0.000369757,0.000369757
64,3021.62,0.44666,0.43179,0.95272,0.97871,0.97147,0.99412,0.95271,0.29169,0.24074,0.85173,0.000368043,0.000368043,0.000368043
65,3068.04,0.45052,0.41527,0.95783,0.97448,0.97579,0.99313,0.94376,0.31679,0.26531,0.86852,0.00036633,0.00036633,0.00036633
66,3113.1,0.45101,0.42154,0.95099,0.98766,0.96539,0.99336,0.94888,0.29765,0.24321,0.85778,0.000364616,0.000364616,0.000364616
67,3157.97,0.43746,0.42032,0.95247,0.98319,0.9688,0.98874,0.94945,0.29469,0.24676,0.84674,0.000362902,0.000362902,0.000362902
68,3202.77,0.44702,0.40623,0.96438,0.98728,0.96321,0.99244,0.94834,0.2841,0.24268,0.8439,0.000361189,0.000361189,0.000361189
69,3250.76,0.43625,0.4105,0.95029,0.98516,0.97227,0.99239,0.95452,0.27191,0.22695,0.83729,0.000359475,0.000359475,0.000359475
70,3295.6,0.45358,0.42516,0.95622,0.9858,0.97692,0.99312,0.95639,0.27497,0.23664,0.83802,0.000357762,0.000357762,0.000357762
71,3340.44,0.43651,0.41827,0.95312,0.9698,0.95926,0.99035,0.9555,0.27168,0.25766,0.83705,0.000356048,0.000356048,0.000356048
72,3385.28,0.44448,0.43837,0.94891,0.97478,0.97815,0.99281,0.94792,0.2816,0.23323,0.84028,0.000354334,0.000354334,0.000354334
73,3430.33,0.45433,0.42267,0.95526,0.98534,0.96935,0.99449,0.95157,0.28199,0.25584,0.84465,0.000352621,0.000352621,0.000352621
74,3474.98,0.46394,0.44073,0.96994,0.92402,0.96047,0.97342,0.93536,0.28238,0.27666,0.84188,0.000350907,0.000350907,0.000350907
75,3521.2,0.43651,0.39934,0.94906,0.97265,0.96711,0.9918,0.94876,0.28217,0.26907,0.84704,0.000349194,0.000349194,0.000349194
76,3568.36,0.44945,0.4115,0.95979,0.9608,0.98795,0.99372,0.95728,0.27394,0.24304,0.84699,0.00034748,0.00034748,0.00034748
77,3615.59,0.43944,0.42321,0.94897,0.98543,0.96327,0.99317,0.95826,0.26094,0.22991,0.83421,0.000345766,0.000345766,0.000345766
78,3660.69,0.42404,0.42293,0.94923,0.97699,0.97805,0.99252,0.95903,0.25943,0.2282,0.82832,0.000344053,0.000344053,0.000344053
79,3705.56,0.43482,0.40832,0.94957,0.97006,0.98457,0.99332,0.95413,0.27711,0.24654,0.83925,0.000342339,0.000342339,0.000342339
80,3752.14,0.4359,0.40534,0.95188,0.97456,0.97158,0.99181,0.95595,0.268,0.23122,0.83468,0.000340626,0.000340626,0.000340626
81,3797.05,0.4348,0.41743,0.94644,0.97533,0.97452,0.99388,0.95769,0.26187,0.24146,0.8372,0.000338912,0.000338912,0.000338912
82,3842.58,0.41958,0.40982,0.95011,0.97476,0.96818,0.99315,0.95714,0.2585,0.23969,0.83198,0.000337198,0.000337198,0.000337198
83,3887.44,0.4336,0.41005,0.9454,0.97492,0.97563,0.99338,0.95809,0.26155,0.22963,0.83202,0.000335485,0.000335485,0.000335485
84,3932.28,0.42465,0.40005,0.94956,0.98588,0.97793,0.99439,0.95814,0.25938,0.21873,0.83121,0.000333771,0.000333771,0.000333771
85,3977.2,0.43562,0.40731,0.95871,0.98046,0.97566,0.99292,0.95519,0.27092,0.22755,0.83386,0.000332058,0.000332058,0.000332058
86,4022.37,0.43498,0.4195,0.95727,0.97697,0.9769,0.99228,0.95848,0.26296,0.22063,0.83013,0.000330344,0.000330344,0.000330344
87,4067.15,0.43039,0.40958,0.95625,0.97837,0.98151,0.9925,0.96213,0.25276,0.22453,0.8278,0.00032863,0.00032863,0.00032863
88,4112.24,0.4385,0.41703,0.94482,0.97356,0.97559,0.99134,0.95346,0.26284,0.23836,0.83737,0.000326917,0.000326917,0.000326917
89,4157.24,0.42457,0.39386,0.94481,0.98143,0.98905,0.99464,0.95615,0.26206,0.22474,0.83387,0.000325203,0.000325203,0.000325203
90,4203.28,0.41978,0.39282,0.93839,0.98295,0.98432,0.99484,0.9556,0.27775,0.23508,0.84397,0.00032349,0.00032349,0.00032349
91,4252.76,0.42514,0.39788,0.95261,0.97749,0.98499,0.99474,0.9557,0.26572,0.22271,0.83854,0.000321776,0.000321776,0.000321776
92,4302.02,0.421,0.38509,0.94714,0.97673,0.98151,0.9933,0.96054,0.26061,0.22289,0.83429,0.000320062,0.000320062,0.000320062
