epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,324.932,0.41227,0.48714,0.94328,0.9892,0.97122,0.99121,0.9488,0.27871,0.23592,0.82693,0.000364787,0.000364787,0.000364787
61,330.279,0.42252,0.39189,0.94302,0.97838,0.97402,0.99071,0.94938,0.27405,0.23752,0.82787,0.000362902,0.000362902,0.000362902
62,335.454,0.40882,0.38411,0.93468,0.9884,0.96969,0.9909,0.95107,0.27346,0.24047,0.83024,0.000361017,0.000361017,0.000361017
63,340.743,0.41927,0.39658,0.94582,0.97718,0.9733,0.98933,0.9512,0.27008,0.23466,0.82518,0.000359132,0.000359132,0.000359132
64,345.936,0.40536,0.38251,0.93899,0.97441,0.97701,0.99162,0.95005,0.27972,0.23848,0.82793,0.000357248,0.000357248,0.000357248
65,351.356,0.43135,0.44014,0.94439,0.98509,0.97274,0.99172,0.95364,0.26913,0.23148,0.82515,0.000355363,0.000355363,0.000355363
66,356.581,0.42397,0.39992,0.95586,0.97855,0.97615,0.99085,0.9541,0.27157,0.22849,0.82573,0.000353478,0.000353478,0.000353478
67,361.97,0.41707,0.39327,0.93884,0.98363,0.96774,0.98982,0.9502,0.27391,0.23687,0.82669,0.000351593,0.000351593,0.000351593
68,367.052,0.40431,0.39594,0.93593,0.98561,0.96382,0.99035,0.95437,0.2645,0.23269,0.82272,0.000349708,0.000349708,0.000349708
69,372.336,0.42507,0.38198,0.94847,0.98598,0.97396,0.99254,0.95644,0.26753,0.22821,0.82538,0.000347823,0.000347823,0.000347823
70,377.678,0.41115,0.39197,0.94243,0.9916,0.96639,0.99109,0.95536,0.26768,0.22854,0.82435,0.000345938,0.000345938,0.000345938
71,382.921,0.42174,0.38075,0.93866,0.98463,0.97692,0.98965,0.95374,0.26758,0.22145,0.8259,0.000344053,0.000344053,0.000344053
72,388.252,0.41628,0.37452,0.93903,0.98857,0.96906,0.99023,0.95351,0.27517,0.22742,0.82766,0.000342168,0.000342168,0.000342168
73,393.419,0.41787,0.38197,0.92936,0.97413,0.97434,0.98879,0.94601,0.27371,0.23034,0.82852,0.000340283,0.000340283,0.000340283
74,398.842,0.41264,0.35664,0.93678,0.98624,0.97245,0.99048,0.95137,0.2706,0.22216,0.82302,0.000338398,0.000338398,0.000338398
75,404.052,0.41577,0.37498,0.93364,0.98741,0.97447,0.99262,0.95427,0.26941,0.22186,0.82743,0.000336513,0.000336513,0.000336513
76,409.423,0.41546,0.36992,0.93483,0.98239,0.97547,0.99111,0.95007,0.27436,0.22643,0.82732,0.000334628,0.000334628,0.000334628
77,414.484,0.41554,0.38206,0.93013,0.98449,0.97671,0.9923,0.95467,0.26454,0.22265,0.82003,0.000332743,0.000332743,0.000332743
78,419.891,0.41848,0.37848,0.94393,0.98461,0.96763,0.9909,0.95219,0.26525,0.23948,0.82036,0.000330858,0.000330858,0.000330858
79,425.228,0.42166,0.38191,0.95058,0.99151,0.97052,0.99154,0.95107,0.26958,0.22924,0.82349,0.000328973,0.000328973,0.000328973
80,430.495,0.39934,0.36977,0.93807,0.99204,0.97255,0.99174,0.95234,0.27047,0.22236,0.8232,0.000327088,0.000327088,0.000327088
81,435.809,0.41034,0.38277,0.93748,0.98916,0.97489,0.99155,0.95261,0.26527,0.22009,0.82273,0.000325203,0.000325203,0.000325203
82,441.077,0.4106,0.37488,0.94279,0.98741,0.96838,0.99104,0.95508,0.25747,0.22305,0.82165,0.000323318,0.000323318,0.000323318
83,446.54,0.42983,0.41585,0.94383,0.98325,0.97448,0.99229,0.95359,0.25923,0.22046,0.82218,0.000321433,0.000321433,0.000321433
84,451.695,0.4199,0.38909,0.95393,0.98618,0.97486,0.99162,0.95679,0.2599,0.22466,0.82198,0.000319548,0.000319548,0.000319548
85,456.981,0.40586,0.36583,0.93034,0.99205,0.97673,0.99209,0.9589,0.26152,0.22149,0.81933,0.000317663,0.000317663,0.000317663
86,462.109,0.41008,0.36338,0.94379,0.98597,0.96815,0.99214,0.95496,0.26134,0.22578,0.82073,0.000315778,0.000315778,0.000315778
87,467.459,0.45125,0.39279,0.97374,0.98693,0.96518,0.99139,0.95585,0.25232,0.22018,0.81891,0.000313893,0.000313893,0.000313893
88,472.82,0.40773,0.37283,0.93968,0.98423,0.97499,0.99169,0.95498,0.26637,0.225,0.82219,0.000312008,0.000312008,0.000312008
89,478.233,0.41128,0.37634,0.93697,0.98644,0.97748,0.99186,0.95729,0.25719,0.21513,0.81985,0.000310124,0.000310124,0.000310124
90,483.588,0.40153,0.35667,0.9279,0.98597,0.96965,0.99051,0.95431,0.26206,0.22274,0.8211,0.000308239,0.000308239,0.000308239
91,488.82,0.40888,0.35888,0.93841,0.98772,0.98239,0.99246,0.95731,0.25498,0.21132,0.82212,0.000306354,0.000306354,0.000306354
92,494.334,0.40932,0.388,0.93717,0.99347,0.97083,0.99215,0.95492,0.25889,0.21777,0.82602,0.000304469,0.000304469,0.000304469
93,499.481,0.40883,0.46793,0.93665,0.98947,0.97385,0.99151,0.95636,0.25947,0.22193,0.82185,0.000302584,0.000302584,0.000302584
94,504.871,0.41646,0.37352,0.94032,0.99404,0.97385,0.99127,0.95949,0.2506,0.21339,0.8185,0.000300699,0.000300699,0.000300699
95,510.086,0.40894,0.37459,0.93318,0.98187,0.97324,0.99046,0.95795,0.25415,0.22531,0.82046,0.000298814,0.000298814,0.000298814
96,515.596,0.41622,0.37392,0.93923,0.98455,0.9791,0.99151,0.95898,0.25114,0.21441,0.8176,0.000296929,0.000296929,0.000296929
97,520.907,0.43174,0.38472,0.96732,0.99138,0.97549,0.99099,0.9585,0.25528,0.2191,0.81994,0.000295044,0.000295044,0.000295044
98,526.129,0.40996,0.40026,0.94813,0.99155,0.9773,0.99181,0.95827,0.25224,0.21278,0.81609,0.000293159,0.000293159,0.000293159
99,531.554,0.42371,0.39413,0.96883,0.98941,0.98073,0.99223,0.9613,0.2458,0.20761,0.81767,0.000291274,0.000291274,0.000291274
100,536.807,0.4007,0.36222,0.93614,0.98709,0.97594,0.99189,0.95827,0.25711,0.20853,0.81732,0.000289389,0.000289389,0.000289389
101,542.006,0.40776,0.35419,0.9367,0.98376,0.98186,0.9932,0.9565,0.2567,0.21284,0.8192,0.000287504,0.000287504,0.000287504
